"id","clust_5","clust_3","clust_pred4_5"
3821,3,2,"3"
3822,3,2,"4"
3823,3,2,"4"
3850,2,1,"4"
3851,2,1,"4"
3852,2,1,"4"
3853,2,1,"4"
3854,2,1,"4"
3855,2,1,"2"
3856,2,1,"2"
3857,2,1,"2"
3858,2,1,"2"
3859,2,1,"4"
3860,2,1,"2"
3861,2,1,"4"
3862,2,1,"2"
3863,2,1,"2"
3864,2,1,"2"
3865,2,1,"2"
3866,2,1,"2"
3867,2,1,"4"
3868,2,1,"4"
3869,2,1,"4"
3870,2,1,"4"
3871,4,3,"4"
3872,4,3,"4"
3873,4,3,"4"
3874,4,3,"4"
3875,4,3,"4"
3876,4,3,"4"
3877,4,3,"4"
3878,4,3,"4"
3879,4,3,"4"
3880,4,3,"4"
3881,4,3,"4"
3882,4,3,"4"
3883,4,3,"4"
3884,4,3,"3"
3885,3,2,"4"
3886,3,2,"4"
3887,3,2,"4"
3888,3,2,"4"
3889,3,2,"3"
3890,3,2,"3"
3891,3,2,"3"
3892,3,2,"3"
3893,3,2,"4"
3894,3,2,"4"
3895,3,2,"4"
3896,3,2,"3"
3897,3,2,"4"
3898,3,2,"3"
3903,3,2,"3"
3904,3,2,"4"
3905,3,2,"4"
3906,3,2,"4"
3907,3,2,"3"
3908,3,2,"4"
3909,3,2,"4"
3910,3,2,"4"
3911,3,2,"4"
3912,3,2,"4"
3941,2,1,"4"
3942,2,1,"4"
3943,2,1,"4"
3944,2,1,"2"
3945,2,1,"2"
3946,2,1,"2"
3947,2,1,"2"
3948,2,1,"3"
3949,2,1,"4"
3950,2,1,"4"
3951,2,1,"2"
3952,2,1,"3"
3953,2,1,"4"
3954,2,1,"4"
3955,2,1,"4"
3956,2,1,"4"
3957,2,1,"4"
3958,2,1,"4"
3959,2,1,"4"
3960,2,1,"4"
3961,2,1,"4"
3962,4,3,"4"
3963,4,3,"4"
3964,4,3,"4"
3965,4,3,"4"
3966,2,1,"4"
3967,2,1,"4"
3968,4,3,"4"
